Fighter,Peak_Elo,Peak_Elo_Year,Current_Elo,Matches
Franco Diaz,1644.49,2025,1609.36,13
Rafael Anjos,1615.1,2025,1609.29,34
Gabrielle Garcia,1679.23,2015,1608.7,12
Kevin Gabriel,1653.42,2024,1607.94,20
Paulo Gabriel,1628.01,2019,1607.85,20
Gabriel Cardoso,1680.43,2023,1607.53,26
Eduardo Roque,1635.31,2023,1607.01,38
Felipe Machado,1606.19,2025,1606.19,10
Marcin Maciulewicz,1615.84,2024,1604.96,10
Luiz Panza,1643.49,2018,1604.4,42
Dillon Danis,1621.71,2016,1601.09,13
Bruno Bressan,1603.95,2025,1600.56,19
Igor Schneider,1643.24,2023,1598.95,67
Rose El Sharouni,1638.65,2023,1598.74,70
Leon Brito,1691.03,2021,1598.21,71
Salla Simola,1621.46,2023,1597.13,45
Angelo Claiborne,1605.55,2025,1597.09,26
Fabricio Werdum,1596.97,2018,1596.97,12
Mariana Rolszt,1625.76,2025,1596.63,64
Diego Borges,1648.93,2017,1596.33,15
Elizabeth Mitrovic,1760.83,2024,1595.85,110
Thiago Saboia,1633.65,2024,1595.27,31
Adriano Araujo,1652.79,2019,1595.21,32
Daniel Maira,1621.74,2022,1595.21,76
Michael Perez,1597.24,2023,1594.64,27
Jake Watson,1651.18,2021,1594.25,29
Fernanda Mazzelli,1598.39,2022,1594.13,15
Pedro Rocha,1603.66,2019,1594.1,28
Victor Silverio,1672.11,2017,1593.47,56
Leon Mendonca,1609.41,2025,1592.57,14
Lucas Leite,1599.25,2015,1592.35,11
Jeremy Jackson,1632.82,2020,1592.31,47
Marco Mendes,1666.11,2024,1592.11,57
Sam Mcnally,1695.5,2023,1591.7,61
R. Evangelista,1662.43,2023,1590.62,65
Marcos Gomes Guedes,1627.57,2025,1590.27,31
Inseong Jang,1628.71,2019,1587.06,23
Lucas Lisboa,1604.94,2021,1585.54,47
Pedro Dias,1655.98,2023,1584.67,100
Leonardo Oliveira,1587.28,2025,1583.32,12
Nicholas Maglicic,1639.28,2025,1583.13,24
Rodnei Barbosa,1756.39,2019,1582.16,112
Lucas Silva,1660.72,2023,1580.17,71
Jake Mackenzie,1651.97,2018,1579.09,12
Daniel Amorim Junior,1616.17,2021,1578.71,23
Nick Calvanese,1604.71,2018,1578.46,11
Tadiyah Danforth,1665.4,2024,1578.44,52
Gabriel De Oliveira,1720.85,2024,1578.38,74
Alejandro Tolmos,1606.61,2023,1577.14,15
Isabely Lemos,1597.69,2024,1576.26,13
Luan Andrei,1603.49,2021,1575.61,29
Johnny Tama,1729.51,2017,1575.33,190
Lucio Rodrigues,1660.14,2016,1572.29,16
Breylor Grout,1598.26,2023,1570.88,12
Samir Chantre,1610.02,2016,1570.4,33
Chayse Diekema,1592.45,2025,1568.13,25
Raul Basilio,1570.53,2025,1567.95,62
John Hansen,1567.33,2023,1566.33,18
Anthony Robinson,1603.57,2023,1564.35,17
Kennedy Franklin,1676.98,2024,1564.29,23
Gabriel Procopio,1577.72,2018,1564.17,12
Eduardo Avelar Carvalho,1676.54,2022,1562.6,144
Antonio Carlos,1582.21,2012,1562.51,11
Lachlan Giles,1567.84,2019,1562.5,14
Fabricio Barbarotti,1602.66,2024,1562.41,111
Matheus Godoy,1737.63,2018,1562.27,96
Maria Malyjasiak,1583.26,2023,1562.12,38
Youngseung Cho,1585.44,2021,1560.79,42
Faris Lamkadem,1574.84,2023,1560.59,21
Leandro Rounaud,1589.21,2025,1560.22,29
Marcelo Mafra,1588.46,2018,1559.95,17
Chris Tran,1588.01,2024,1559.95,25
Pedro Pessoa Bisneto,1573.93,2024,1558.61,37
Felipe Linhares,1627.19,2018,1557.97,17
Sergio Rios,1577.93,2022,1557.74,47
Sergio Soares,1569.55,2022,1557.73,12
Helton Jose Junior,1778.21,2019,1557.59,208
Jhonathan Marques,1563.59,2024,1556.98,17
Claire North,1592.31,2023,1556.82,34
Kira Sung,1615.5,2024,1556.21,22
Elionai Braz,1556.5,2025,1555.12,31
Karen Antunes,1554.98,2024,1554.98,12
Pedro Veras,1572.62,2024,1554.22,16
Thais Loureiro,1553.91,2025,1553.91,42
Vinny Magalhaes,1563.6,2015,1552.23,22
Hiago Gama,1649.37,2019,1551.91,31
Cleison Gabriel,1565.73,2023,1551.68,10
Gabriel Gaudio,1587.42,2021,1551.49,32
Yuri Da Silva,1556.0,2025,1551.42,16
Marcos Martins,1584.75,2023,1551.16,41
Tiago Barros,1570.33,2017,1551.15,14
Eliana Carauni,1566.98,2023,1551.15,43
Julia Boscher,1596.74,2022,1550.8,16
Gabriel Oliveira,1585.1,2024,1550.52,33
Jordan Holy,1606.63,2022,1549.76,15
Rafael Vasconcelos,1638.49,2018,1549.36,106
Nisar Loynab,1561.77,2020,1549.34,42
Larissa Martins,1566.67,2023,1548.81,14
Antonio Assef,1555.61,2023,1548.68,14
Evandro Nunes,1589.67,2015,1548.22,27
Leon Larman,1576.02,2023,1548.2,18
Joshua Bacallao,1570.61,2022,1548.11,18
Luiz Santos,1568.47,2023,1547.44,21
Tarsis Humphreys,1597.65,2013,1547.43,21
Rodrigo Ribeiro,1563.93,2022,1547.09,39
Shane Fishman,1576.86,2024,1546.81,22
Gregor Gracie,1553.59,2025,1546.44,16
Rui Neto,1583.0,2025,1546.13,13
Michael Sheenan,1545.99,2025,1545.99,11
Wallison Oliveira,1545.75,2025,1545.75,10
Leandro Carlos,1547.82,2024,1545.49,17
Joao Paulo Neto,1742.96,2019,1544.2,79
Gabriel Lucas,1597.51,2017,1544.05,21
James Quinlan,1612.77,2022,1543.62,11
Ellis Younger,1569.89,2022,1543.5,18
Rodrigo Fajardo,1542.86,2021,1542.86,20
Grace Gundrum,1598.17,2023,1542.75,10
Daniel Diniz,1607.83,2024,1542.52,77
Inacio Neto,1563.45,2019,1541.51,19
Cory Walker,1621.87,2022,1540.33,16
Jorge Escudero,1550.13,2024,1540.15,12
Carlos Alberto,1544.2,2019,1539.62,11
Alan Finfou,1545.48,2019,1538.41,10
Ane Svendsen,1543.07,2025,1538.07,19
Jackson Douglas,1554.89,2024,1537.68,114
Stanley Rosa,1588.67,2021,1536.81,16
Philippe Pomaski,1545.26,2019,1536.66,12
Lucas Maquine,1536.38,2025,1536.38,13
Kleber Barboza,1582.71,2025,1536.19,10
Luca Anacoreta,1567.07,2015,1536.05,19
Paul Ardila,1538.2,2024,1534.86,11
Sebastian Brosche,1577.41,2019,1533.52,44
G. Lambertucci,1543.02,2024,1533.01,26
Pierre Leclerc,1553.94,2024,1532.63,15
Stephen Martinez,1535.22,2021,1531.88,11
Manoel Porto,1555.94,2024,1531.17,24
Masahiro Iwasaki,1531.13,2019,1531.13,20
Gerard Labinski,1538.1,2019,1530.88,13
Chloe Mcnally,1573.43,2021,1530.88,22
Luciano Bernert,1539.44,2021,1530.84,15
Vitor Peres,1560.08,2022,1529.4,13
Gyalisson Freitas,1605.62,2019,1528.99,58
Kalel Santos,1540.0,2019,1528.62,25
Joao Assis,1533.74,2017,1528.19,14
Lavinia Barbosa,1543.32,2021,1527.67,16
Isaque Paiva,1547.54,2012,1527.48,40
Michael Trasso,1583.33,2018,1526.82,30
Victor Estima,1527.34,2016,1526.72,16
Nathan Haddad,1538.61,2024,1526.59,19
Julio Anjos,1565.08,2019,1526.37,12
Geo Martinez,1533.67,2022,1526.35,20
Ben Eddy,1525.01,2024,1525.01,11
Dory Aoun,1558.51,2024,1524.36,30
Iago Duarte,1598.56,2023,1522.88,10
Aj Agazarm,1538.43,2022,1522.57,63
Rafael Mansur,1562.38,2018,1522.26,27
Mansher Khera,1570.56,2016,1521.96,10
Vinicius Marinho,1533.21,2015,1521.19,15
Aaron Tiegs,1539.26,2022,1520.94,11
Clark Gracie,1535.73,2012,1520.08,15
Kacie Tan,1626.03,2022,1519.14,17
Faisal Alkitbe,1546.38,2021,1519.12,17
Vitor Sotini,1524.81,2024,1517.98,17
Hunter Colvin,1588.39,2022,1517.37,30
Thiago Abud,1592.1,2019,1517.28,44
Gabriel Rollo,1640.03,2016,1517.19,32
Pedro Elias,1518.47,2025,1516.3,28
Wilhiam Mateus,1541.97,2022,1514.94,10
Thamires Aquino,1532.22,2023,1514.45,12
Edward Lucero,1541.41,2023,1514.37,13
Artem Kaygarodov,1553.99,2024,1513.77,10
Italo Lins,1542.8,2012,1513.39,10
Davi Ramos,1529.44,2017,1512.75,21
Leo Souza,1519.48,2023,1512.7,11
Chris Wojcik,1522.13,2022,1512.35,21
Caio Caetano,1600.31,2018,1512.16,36
Perttu Tepponen,1546.31,2019,1512.1,10
An Vu,1551.5,2024,1512.07,16
Joao Neto,1561.54,2019,1510.42,19
Roberta Ribeiro,1519.24,2023,1509.56,12
Vinicius Paoli,1546.97,2023,1509.47,11
Eduardo Avelar,1515.3,2025,1509.23,56
Andre Cantanhede,1529.46,2021,1508.88,26
Nathan Orchard,1514.49,2022,1508.32,10
Gabriela Fechter,1522.71,2022,1507.38,13
Alexandre Ceconi,1590.84,2011,1507.06,19
Dany Gerard,1546.65,2017,1507.04,19
Maria Claudia,1606.2,2023,1506.91,17
Anderson Kauan,1558.66,2023,1506.63,31
Roiter Lima,1670.09,2021,1506.52,35
Ruan Oliveira,1544.79,2016,1506.41,22
Matheus Gonzaga,1556.89,2019,1505.47,10
Matheus Felipe,1505.28,2025,1505.28,23
Abraham Marte,1522.99,2016,1505.14,18
Anthony Oliveira,1512.85,2024,1504.33,12
Ethan Major,1505.26,2025,1503.94,14
Lucas Laet,1508.94,2021,1503.63,14
Joao Oliveira,1532.66,2019,1503.47,31
Pedro Moura,1502.84,2024,1502.84,14
Szilard Sule,1504.21,2025,1501.77,11
Koji Shibamoto,1606.04,2017,1500.6,17
Matheus Chedid,1532.5,2024,1499.67,12
Italo Moura,1569.67,2019,1499.42,31
Johnif Rocha,1572.54,2022,1499.24,11
Kody Steele,1509.33,2020,1499.09,14
Helton Jose,1615.87,2019,1498.04,82
Santiago Guerra,1576.62,2024,1497.93,15
Jz Cavalcante,1549.76,2021,1496.82,10
Rodrigo Gortari,1520.08,2021,1496.5,23
Jp Rocha,1549.62,2024,1496.26,13
Artur Oliveira,1527.96,2023,1496.0,17
Lucas Wilhan,1508.9,2023,1495.99,10
Pedro Serrano,1549.07,2022,1495.83,17
Erick Diovano,1545.55,2023,1495.69,21
Eldar Rafigaev,1522.52,2019,1495.23,16
Jadson Araujo,1524.66,2022,1495.02,10
Duda Tozoni,1584.05,2021,1493.87,25
Erika Machado,1532.0,2024,1493.69,12
Davi Souza,1535.05,2022,1493.42,18
Ismael Santos,1593.51,2024,1493.24,88
Sergio Ardila,1545.18,2021,1492.99,14
Richard Alarcon,1539.08,2019,1492.74,10
Lucas Valle,1554.05,2015,1492.47,45
Igor Sousa,1564.81,2019,1491.74,25
Pablo Mantovani,1548.13,2018,1491.68,27
Kalum Klausner,1543.81,2024,1491.56,14
Jhonny Loureiro,1637.41,2016,1491.15,19
Elijah Carlton,1500,,1490.9,11
Alexandre Souza,1542.48,2009,1490.89,13
Nick Ronan,1500,,1490.74,18
Justin Primrose,1560.92,2022,1490.05,15
Jose Lima,1524.33,2018,1489.81,11
Marcos Gomes,1564.45,2024,1488.94,12
Gyula Szabo,1519.99,2022,1488.08,16
Stuart Maddox,1524.36,2020,1485.35,10
Diego Herzog,1526.13,2015,1485.24,10
Giulia Gregorut,1516.49,2023,1484.88,35
Italo Lima,1501.2,2023,1484.77,26
Ana Schmitt,1527.03,2019,1483.95,12
Eduardo Macedo,1512.86,2022,1483.62,10
Elder Junior,1519.81,2022,1483.19,14
Lukete Silva,1553.99,2023,1482.91,39
Talita Nogueira,1540.26,2019,1482.71,14
Valdir Araujo,1512.86,2017,1482.68,28
Leo Silva,1585.09,2021,1482.54,34
Clemer Hebert,1500,,1482.37,14
Calon Sabino,1538.7,2022,1480.61,12
Carlos Castro,1500,,1480.6,14
Gialysson Freitas,1538.15,2021,1480.53,22
Admilson Gobi,1522.04,2016,1480.51,11
Omar Alfadhli,1516.96,2022,1480.51,13
Bryan Peterson,1539.09,2022,1479.5,10
Romulo Azevedo,1543.29,2016,1479.39,11
Ricardo Rezende,1542.18,2014,1478.24,13
Pedro Leonardo,1551.94,2024,1478.07,11
Diego Ferreira,1550.24,2021,1477.86,10
Otavio Nalati,1590.01,2015,1477.37,44
Ed Ramos,1516.72,2015,1477.34,10
"Maria Eduarda ""Duda"" Tozoni",1605.22,2021,1476.08,53
Josh Guerra,1531.98,2022,1475.92,11
Kevin Crane,1506.22,2022,1475.57,12
Kim Terra,1530.77,2016,1474.31,22
Nick Schrock,1510.7,2016,1474.09,15
Marcel Goncalves,1531.97,2015,1474.01,12
Jurandir Conceicao,1500,,1473.79,14
Josh Bacallao,1505.76,2017,1473.7,12
Kauan Barboza,1576.18,2018,1473.68,23
Freddy Vosgrone,1512.17,2022,1473.51,17
Thalys Pontes,1549.16,2023,1473.46,16
Francisco Iturralde,1557.17,2013,1473.11,33
Janine Mutton,1522.08,2023,1473.11,17
Vinicius Reis,1500,,1472.29,15
Lucas Brito,1543.27,2022,1471.08,32
Alexandre Cavaliere,1516.81,2016,1470.59,21
Julio Arantes,1515.17,2021,1470.48,30
Gustavo Dias,1500,,1470.46,22
Athos Miranda,1500,,1470.02,21
Matheus Onda,1516.65,2023,1468.41,36
Darlan Casaca,1555.04,2022,1468.34,38
Joao Cizeski,1532.0,2021,1468.34,41
Diogo Nascimento,1500,,1468.21,16
Shoya Ishiguro,1500,,1468.05,17
Dustin Akbari,1500.7,2017,1467.43,10
Enrico Cocco,1500,,1467.25,12
Roberto Alencar,1542.22,2012,1466.34,16
Marlus Salgado,1500,,1466.2,30
Leonardo Andrade,1530.02,2022,1465.59,19
Yasmira Dias,1500,,1464.77,10
Sean Coates,1506.62,2019,1464.34,15
Sandro Vieira,1500,,1464.31,14
Gustavo Oliveira,1500,,1463.41,10
Clay Mayfield,1500,,1462.15,86
Thomas Halpin,1500,,1461.1,10
Wellington Peroto,1521.74,2015,1460.74,18
Igor Paiva,1500,,1459.8,12
Claudio Mattos,1579.43,2010,1459.76,17
Sebastian Guevara,1512.97,2023,1459.51,14
Breno Bittencourt,1500,,1459.23,14
Levi Moura,1500,,1459.02,11
Mauricio Gomez,1500,,1458.93,17
Willis Nunes,1611.75,2020,1457.91,42
Fabio Fernandes,1500,,1457.82,13
Eric Bergmann,1500,,1457.47,20
Theodoro Canal,1554.48,2011,1457.11,11
Matt Leighton,1500,,1457.08,22
Arya Esfandmaz,1500,,1456.69,12
Darragh Oconaill,1524.13,2015,1456.39,20
Luan Gomes,1536.31,2023,1455.92,24
Carlos Neto,1519.03,2022,1454.81,20
Andre Campos,1500,,1454.63,11
Thiago Saldanha,1507.46,2022,1454.47,10
Carlos Souza,1524.61,2020,1454.47,15
Xavier Silva,1514.87,2021,1454.0,11
Matheus Galvao,1500,,1453.96,34
Karl Pegers,1506.07,2023,1453.63,10
Fausto Godoy,1500,,1453.39,14
Maggie Grindatti,1500,,1453.34,16
London Horn,1500,,1452.71,12
Diogo Sampaio,1521.74,2013,1452.66,32
Richie Martinez,1509.07,2015,1451.82,15
Cole Franson,1516.12,2018,1451.25,20
Felipe Pimentel,1500,,1450.72,10
Adam Bradley,1538.48,2021,1450.27,16
Guilherme Rocha,1539.49,2019,1449.51,35
Gabriel Lima,1541.53,2019,1449.13,10
Frederico Alves,1500,,1449.1,10
Silvio Duran,1500,,1448.68,31
Renan Borges,1539.99,2015,1448.52,14
Anton Minenko,1500,,1448.21,14
Arturo Salas,1500,,1447.96,10
Reon Niwa,1508.54,2023,1447.85,11
Justin Fabac,1559.9,2021,1447.69,12
Uknown,1500,,1447.57,10
Alexandre Molinaro,1579.2,2019,1446.71,60
Felipe Mota,1500,,1446.63,10
Alexander Lane,1500,,1445.71,11
Yago Rodrigues,1508.88,2021,1445.6,11
Karoline Caramori,1500,,1444.97,10
Rene Sousa,1500,,1444.04,12
Alexandre Vieira,1519.6,2017,1443.76,16
Eduardo Telles,1521.48,2006,1443.1,13
Tiago Bravo,1500,,1442.93,20
Jose Neto,1500,,1442.86,15
Lucas Rocha,1501.06,2015,1441.67,23
Burak Sarman,1500,,1441.1,10
Jesse Vuorio,1500,,1439.95,14
Pedro Bisneto,1555.79,2022,1439.56,15
Thiago Cintra,1500,,1437.82,20
Thiago Sa,1500,,1437.52,37
Astrid Scholin,1516.9,2023,1437.26,14
Matheus Pereira,1516.16,2024,1437.23,10
Magid Hage,1500,,1437.0,22
Guilherme Cypriano,1535.55,2024,1436.5,11
Italo Bonfim,1519.4,2022,1436.46,11
Wanki Chae,1500,,1436.41,14
Marcos Froede,1505.23,2022,1435.79,10
Victoria Ulrich,1500,,1434.79,11
Ben Hodgkinson,1525.9,2018,1434.1,10
Raquel Canuto,1500,,1433.25,11
Marcus Wilson,1500,,1432.81,11
Joao Machado,1500,,1432.67,11
Leticia Cardozo,1500,,1432.57,14
Igor Silva,1500,,1432.36,26
Henrique Barreto,1500,,1432.3,13
Andre Gois,1540.81,2020,1432.2,20
Luis Ribas,1501.15,2022,1432.04,27
Matheus Azancot,1500,,1431.92,10
Celso Ricardo,1510.23,2018,1431.17,11
Claire Thevenon,1500,,1430.21,10
Luciane Silva,1500,,1430.03,11
Huthayfah Penney,1500,,1430.02,25
Rafael Domingos,1508.26,2016,1429.81,12
Mikaela Lima,1525.37,2023,1429.68,16
Leandro Lima,1500,,1429.55,28
Rodrigo Lopes,1645.21,2020,1429.38,77
Matheus Costa,1539.96,2017,1428.87,13
Natalia Zumba,1500,,1428.3,17
Gabriel Marangoni,1500,,1427.95,22
Jason Rau,1500,,1427.67,12
Saul Viayra,1500,,1427.32,10
Carlos Feitosa,1500,,1426.71,10
Pedro Neto,1510.41,2019,1426.31,15
Felipe Santos,1500,,1424.78,10
Paulo Brasil,1500,,1424.59,10
Enrique Galarza,1500,,1424.32,13
Haidar Abbas,1500,,1424.29,11
Mayara Custodio,1500,,1424.02,25
Gabriele Schuck,1500,,1423.76,14
Rose Sharouni,1500,,1422.99,19
Rafael Silva,1500,,1422.97,15
Emilio Hernandez,1662.48,2022,1422.79,282
Paulo Lanzillotti,1500,,1422.56,22
Brandon Walensky,1500,,1421.74,15
Joanna Trindade,1500,,1421.45,12
Yasmyn Castro,1502.68,2024,1421.13,10
Nobuhiro Sawada,1539.27,2018,1420.91,21
Jakub Najdek,1500,,1419.36,12
Joao Albuquerque,1500,,1419.1,10
Amber Freitas,1500,,1418.97,17
Guilherme Silva,1500,,1418.79,17
Deise Leonanjo,1500,,1417.07,11
Matheus Marques,1500,,1416.49,13
Joseph Watson,1510.85,2021,1416.28,24
Tyrone Gonsalves,1500,,1416.12,15
Magdalena Loska,1500,,1415.98,16
Jessica Crane,1500,,1415.75,14
Cleyton Flores,1500,,1415.35,45
Sean Yadimarco,1521.25,2021,1415.16,20
Wildemar Santos,1500,,1413.9,10
Alexis Alduncin,1524.06,2016,1413.81,16
Emily Nicholson,1500,,1413.81,16
Yuri Rodrigues,1500,,1411.87,17
Jared Dopp,1556.14,2015,1411.37,26
Isaac Cordova,1500,,1411.29,11
Hunter Newton,1500,,1411.08,11
Herico Hesley,1500,,1410.8,26
Kitner Moura,1500,,1410.74,13
Brian Mahecha,1617.04,2016,1410.21,120
Pedro Palhares,1500,,1409.95,18
Lucas Feitosa,1500,,1409.43,14
Pedro Cadete,1500,,1407.93,10
Alec Baulding,1528.9,2017,1407.76,20
Filipe Pimentel,1500,,1407.63,28
Rafael Barbosa,1500,,1407.55,18
Amal Amjahid,1500,,1407.47,11
Thamires Monteiro,1500,,1407.33,13
Thiago Aso,1500,,1407.07,10
Gabriel Silva,1500,,1406.87,10
F. Costa,1516.0,2006,1406.82,10
Serena Gabrielli,1500,,1406.27,12
Jefferson Nascimento,1500,,1406.17,12
Max Bickerton,1500,,1406.08,12
Amanda Hening,1500,,1405.35,14
Oliver Lovell,1502.3,2019,1405.21,12
Oscar Gugala,1500,,1405.13,13
Rodrigo Caporal,1500,,1404.21,15
Giovanni Marcelo,1500,,1403.94,10
Estevao Nogara,1500,,1403.53,14
Marcus Phelan,1500,,1403.39,13
Bill Cooper,1500,,1403.12,11
Lucas Alves,1500,,1402.6,35
Max Li,1500,,1401.21,14
Sean Goolsby,1500,,1401.18,15
Eliot Kelly,1500,,1401.12,35
Bruno Bastos,1500,,1400.58,16
Carlos Farias,1500,,1399.81,18
Bruno Tosto,1519.16,2018,1398.47,22
Wesley Santos,1500,,1398.43,16
Fernando Favari,1522.93,2021,1398.33,18
Christiano Tayfour,1500,,1398.32,14
Eduardo Machado,1500,,1397.83,10
Stephanie Jangelni,1500,,1397.55,11
Arthur Mariath,1500,,1397.49,15
Lucas Alcantara,1500,,1397.4,11
Henry Clark,1500,,1396.99,11
Arthur Detanico,1500,,1396.68,20
Gilberto Saraiva,1500,,1396.67,12
Juliana Araujo,1500,,1396.66,10
Ricky Semiglia,1500,,1396.14,12
Erin Johnson,1500,,1395.97,10
Oziel Santos,1500.31,2021,1395.9,25
Lucas Calado,1500,,1395.38,18
Bruno Borges,1500,,1395.08,25
Piter Frank,1500,,1394.51,23
Maique Azevedo,1500,,1393.3,17
Marlon Ferreira,1500,,1393.26,11
Brian Beaury,1500,,1392.68,25
Pierpaolo Chiappe,1500,,1391.97,19
Vinicius Wong,1500,,1391.78,26
Rene Lopez,1500,,1391.61,25
Leo Domingos,1500,,1391.41,12
Marcos Goulart,1500,,1391.39,14
Joao Freitas,1500,,1391.23,10
Nikki Sullivan,1500,,1390.54,15
Walter Santos,1500,,1389.99,11
Caio Goncalves,1500,,1389.33,13
Victor Matos,1500,,1388.63,13
Mara Kelly,1509.97,2023,1388.38,10
Matheus Fonseca,1500,,1388.01,11
Graciele Fava,1500,,1387.28,14
Laura Peretti,1500,,1386.87,11
Wesley Possamai,1500,,1386.63,17
Enrique March,1500,,1386.5,19
Ricardo Rocha,1500,,1385.85,14
Marcos Costa,1500,,1385.83,12
Julian Stonjek,1500,,1384.35,13
Matheus Magalhaes,1500,,1384.03,10
Alexa Yanes,1500,,1383.6,17
Iranslav Neoral,1500,,1383.18,12
Nathan Mendelsohn,1500,,1382.79,30
Felipe Nacib,1500,,1381.81,10
Gabriel Martins,1500,,1381.78,10
Elizabeth Liera,1500,,1381.74,14
James Puopolo,1518.15,2012,1381.42,37
Raphael Cadena,1500,,1381.21,10
Rodrigo Freitas,1525.57,2014,1381.15,41
Kenji Sette,1500,,1381.09,10
Gustavo Borges,1500,,1380.33,15
Ana Brandao,1500,,1378.24,10
Lucas Serrado,1500,,1377.83,10
Josh Murdock,1500,,1377.36,11
Nathan Santos,1500,,1375.24,14
Jose Munoz,1500,,1374.94,14
Samat Aitpanbet,1500,,1371.93,19
Matheus Oliveira,1500,,1371.61,13
Marcus Ruiz,1500,,1370.82,11
Rodrigo Tatu,1500,,1370.55,35
Romes Ramos,1500,,1370.23,11
Henrique Rossi,1517.3,2020,1369.25,11
Roberto Torralbas,1500,,1368.41,18
Caio Almeida,1500,,1368.31,17
Rennick Kama,1500,,1367.89,11
Thomas Bracher,1500,,1367.48,23
Theodore Sanders,1500,,1367.16,11
Felipe Simplicio,1500,,1367.03,16
Harry Loseby,1500,,1366.95,17
Rafael Message,1500,,1366.25,17
Michael Mehl,1500,,1365.6,14
Flavia Soares,1500,,1364.3,15
Joao Somalia,1500,,1364.01,11
Vitor Toledo,1544.96,2012,1363.33,18
Joshua Guerra,1500,,1361.69,25
Giovanni Carvalho,1500,,1361.5,11
Diogo Almeida,1500,,1361.17,17
Rhuan Duarte,1500,,1361.11,12
Na,1500,,1360.23,24
Vinny Saenz,1500,,1358.93,15
Orlando Castillo,1500,,1358.06,27
Jae Mcintosh,1500,,1355.92,12
Jorge Nakamura,1500,,1355.74,16
Nicolas Penzer,1500,,1354.59,23
Ashur Darmo,1500,,1354.38,18
Gabriel Machado,1500,,1354.33,27
Colon Santana,1500,,1353.42,10
Gabriel Araujo,1500,,1353.33,10
Samuel Marquez,1500,,1352.15,22
Patricia Fontes,1500,,1348.67,13
Bradley Hill,1500,,1348.62,39
Suraj Budhram,1521.81,2019,1347.03,32
Rehan Muttalib,1500,,1346.72,31
Ilke Bulut,1500,,1345.96,10
Wellington Dias,1500,,1345.67,22
Diego Gamonal,1500,,1343.96,17
Yuri Santos,1500,,1341.95,12
Tyler Scalisi,1500,,1338.22,14
Italo Frota,1500,,1338.07,10
Thiago Andrade,1500,,1334.62,51
Robert Dunn,1500,,1333.01,17
Marko Oikarainen,1500,,1332.45,25
Charles Murdock,1500,,1331.32,26
Marlon Tanaka,1500,,1330.8,39
Vinicius Garcia,1500,,1329.1,12
Daniel Hampton,1500,,1314.11,18
Antonio Zuazo,1500,,1308.31,24
N/A,1500,,1229.36,72
Unknown,1500,,1146.4,155
